pair_str,config,gpusim_version,jobId,1_grid_x,1_grid_y,1_grid_z,1_block_x,1_block_y,1_block_z,1_ctas/SM,1_runtime,1_instructions,1_avg_mem_lat,1_avg_core_to_l2,1_avg_l2_to_core,1_avg_mrq_latency,2_grid_x,2_grid_y,2_grid_z,2_block_x,2_block_y,2_block_z,2_ctas/SM,2_runtime,2_instructions,2_avg_mem_lat,2_avg_core_to_l2,2_avg_l2_to_core,2_avg_mrq_latency,stall_icnt_to_l2,stall_l2_to_icnt,stall_core_ldst,l1D_miss_rate,l2_miss_rate,runtime,l2_rshr_entry_fail,l2_rshr_merge_fail,dram_bw
parb_stencil-0-rod_hotspot-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_1090130_CYCLE-INTER_0:44:36_SM,commit_5c787_modified_0,572883,8,128,1,32,4,1,0,472746,644994210,830,390,28,194,43,43,1,16,1,1,0,40277,89989280,491,203,43,112,3049232,0,6028604,0.9976,0.6960,484587,0,0,[0.658271 0.657389 0.656016 0.656311 0.659058 0.658015 0.662411 0.663725 0.664972 0.665960 0.665278 0.663757 0.665394 0.665173 0.668958 0.669901 0.657843 0.657572 0.656812 0.655553 0.658035 0.656465 0.660585 0.660821]
nvd_blackscholes-0-rod_streamcluster-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_415464_CYCLE-INTER_0:40:40_SM,commit_5c787_modified_0,639805,15625,1,1,128,1,1,0,317841,292000000,2114,1367,22,171,128,1,1,512,1,1,0,0,127859954,1285,368,29,136,10318986,0,5119144,0.9117,0.9908,415464,19495,153283,[0.821470 0.823951 0.823849 0.822411 0.823261 0.823733 0.823509 0.823275 0.823764 0.821773 0.823125 0.823910 0.824532 0.821864 0.824335 0.824338 0.824161 0.824416 0.824821 0.823828 0.822846 0.822894 0.822357 0.822884]
nvd_blackscholes-0-rod_streamcluster-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_519330_CYCLE-INTER_0:32:48_SM,commit_7b896_modified_0,138,15625,1,1,128,1,1,0,337865,292000000,1719,979,19,178,128,1,1,512,1,1,0,353747,133834562,1259,338,20,134,8991353,0,6109924,0.9162,0.9889,519330,15932,106365,[0.787454 0.787476 0.787402 0.787375 0.787560 0.787457 0.787541 0.787443 0.787421 0.787386 0.787511 0.787438 0.787364 0.787253 0.787405 0.787253 0.787554 0.787516 0.787516 0.787503 0.787446 0.787443 0.787525 0.787351]
nvd_blackscholes-0-rod_streamcluster-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_519330_CYCLE-INTER_0:36:44_SM,commit_5c787_modified_0,572939,15625,1,1,128,1,1,0,327167,292000000,2007,1248,19,175,128,1,1,512,1,1,0,363552,133834562,1295,352,23,136,9984545,0,6312446,0.9170,0.9900,519330,27360,101228,[0.813189 0.813148 0.813352 0.813148 0.813227 0.813233 0.813176 0.813336 0.813119 0.813312 0.813371 0.813377 0.813146 0.813170 0.813393 0.813448 0.813434 0.813181 0.813502 0.813284 0.813431 0.813303 0.813265 0.813314]
cut_sgemm-1-cut_wmma-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_3637956_CYCLE-INTER_0:44:36_SM,commit_5c787_modified_0,639708,32,16,1,256,1,1,0,2169214,6580076544,1013,702,145,34,16,8,1,64,1,1,0,69646,36372480,660,382,135,10,702114,0,37561837,0.9999,0.2173,2218760,0,3043679,[0.170647 0.170861 0.171812 0.171597 0.171889 0.172166 0.170289 0.170304 0.170553 0.170606 0.170709 0.170763 0.170723 0.170750 0.170494 0.170528 0.170336 0.170685 0.172365 0.172002 0.171275 0.171656 0.169855 0.169378]
cut_sgemm-1-cut_wmma-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_4547445_CYCLE-INTER_0:48:32_SM,commit_7b896_modified_0,114,32,16,1,256,1,1,0,2166491,6580076544,991,714,107,45,16,8,1,64,1,1,0,67369,36372480,505,237,113,11,688176,0,40435205,0.9141,0.2820,2190647,0,3341510,[0.166188 0.166232 0.165616 0.165376 0.166150 0.166243 0.166317 0.166116 0.180477 0.180526 0.180521 0.180421 0.180405 0.180472 0.180694 0.180637 0.166704 0.166686 0.165797 0.165552 0.165511 0.165725 0.165739 0.165641]
cut_sgemm-1-cut_wmma-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_4547445_CYCLE-INTER_0:52:28_SM,commit_5c787_modified_0,572842,32,16,1,256,1,1,0,1817285,6580076544,953,679,110,42,16,8,1,64,1,1,0,119238,36372480,783,469,168,17,425580,0,23192189,0.9988,0.2289,1817890,0,2300738,[0.143821 0.143982 0.144647 0.144717 0.143714 0.143748 0.144422 0.144389 0.145298 0.145289 0.146530 0.146477 0.145441 0.145337 0.146413 0.146354 0.143473 0.143347 0.143884 0.143754 0.143571 0.143509 0.143855 0.143825]
nvd_interval-0-parb_cutcp-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_1274968_CYCLE-INTER_0:64:16_SM,commit_5c787_modified_0,639822,1024,1,1,64,1,1,0,69688,97138283,242,110,9,8,11,11,1,8,2,8,0,648321,469895962,184,49,7,14,4505,0,4365304,0.4005,0.7678,680461,0,166,[0.010849 0.012670 0.011911 0.013670 0.012567 0.013239 0.010880 0.013154 0.018944 0.025664 0.020260 0.025287 0.020397 0.025670 0.020486 0.025913 0.009789 0.014426 0.010299 0.014367 0.009784 0.014635 0.011295 0.014577]
nvd_interval-0-parb_cutcp-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_1593710_CYCLE-INTER_0:60:20_SM,commit_5c787_modified_0,572957,1024,1,1,64,1,1,0,68660,97138283,243,111,8,4,11,11,1,8,2,8,0,639071,469895962,186,51,7,15,5269,0,4368776,0.3983,0.7673,681155,0,0,[0.010659 0.010649 0.011356 0.011306 0.009984 0.011296 0.010645 0.011609 0.017147 0.018981 0.017190 0.018838 0.015922 0.019503 0.016977 0.019041 0.009886 0.012040 0.010249 0.011774 0.010947 0.011882 0.010166 0.011917]
nvd_interval-0-parb_cutcp-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_1593710_CYCLE-INTER_0:56:24_SM,commit_7b896_modified_0,156,1024,1,1,64,1,1,0,68950,97138283,236,105,8,6,11,11,1,8,2,8,0,639408,469895962,186,52,7,15,5783,0,4372248,0.3951,0.7717,683022,0,0,[0.010639 0.010357 0.010523 0.010066 0.010238 0.010608 0.010130 0.010397 0.018398 0.016781 0.018119 0.016562 0.018770 0.015510 0.017433 0.015901 0.010959 0.010145 0.010618 0.009721 0.010506 0.009568 0.010680 0.010180]
