Benchmark_Set,Kernel,DRAM_BANDWIDTH_UTIL,REGISTER_USAGE,SHARED_USAGE,OCCUPANCY,FP16,FMA,FP64,ALU,SPU,Tensor,Ld/St
Rodinia,nw,13.160436149578237,4.569812925517876,12.708357215672455,5.969430178370915,0.0,0.9055482599123056,0.0,2.2176571189240235,0.0,0.0,10.229126442803429
Rodinia,bfs,22.788662858774465,23.652756905816155,0.0,74.42274637326463,0.0,4.526290916245567,0.0,9.5107756870762,0.0,0.0,20.540231280862642
Rodinia,dwt2d,48.3294309085869,21.262271906667728,14.191454711075256,37.438785457375396,0.0,6.999742924881585,0.0,8.597172173697448,0.0,0.0,34.70071630139652
Rodinia,nn,24.27,21.7525,0.0,87.01,0.0,8.1,0.0,3.74,2.49,0.0,9.97
Rodinia,kmeans,92.04929076332516,35.07562392360835,0.0,96.3443808998795,0.0,4.854173582526468,0.0,5.008622797806302,0.0,0.0,1.7029759486519949
Rodinia,huffman,8.759677399708307,26.624627468646498,13.859630700425301,80.00574195544408,0.0,11.207430732168813,0.0,20.435246314103306,0.0,0.0,29.802466320942692
Rodinia,backprop,25.876928440527443,39.35416975995118,1.3719598355018623,95.85527403767793,0.0,5.616153295726943,67.68417331536496,6.017846139779688,6.431598907586077,0.0,19.213253310435576
Rodinia,gaussian,0.8199585858585855,3.0103527777777765,0.0,12.041411111111104,0.0,0.615280808080808,0.0,0.4375429292929293,0.09508939393939393,0.0,1.1842823232323227
Rodinia,hotspot,6.15,65.17859375,18.189375,97.01,0.0,6.35,86.7,9.86,2.12,0.0,9.16
Rodinia,lavaMD,0.23,86.19375,80.806640625,91.94,0.0,0.5,86.46,0.27,0.0,0.0,1.06
Rodinia,heartwall,4.895500000000001,28.40580468750001,25.82978808593751,35.64650000000001,0.0,24.465000000000003,0.006000000000000003,15.434500000000005,2.81,0.0,63.604000000000006
Rodinia,pathfinder,39.96400000000001,22.529000000000003,11.264500000000002,90.116,0.0,8.924000000000003,0.0,25.101999999999997,0.0,0.0,45.13
Rodinia,streamcluster,92.94676598386107,79.95176006750471,0.0,89.7703972687772,0.0,14.113364369956546,0.0,0.9997020484171454,0.0,0.0,25.355909373060204
Rodinia,lud,2.4325669799975933,5.361333859191892,3.7407681491262337,8.921564388001192,0.0,2.12776088086254,0.0,2.7796377427974694,0.24224846569638345,0.0,12.426863809227084
Rodinia,srad,39.28672566385645,42.50009186029234,2.0193104909230963,96.25959446500539,0.0,13.28531314546889,67.91941883926971,14.96754258527932,5.3966967310937335,0.0,23.548811575048614
